央视频道,#genre#
青海卫视,http://122.96.52.98:8006/JS_CUCC/G_QINGHAI.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzb4ZV4MRM%2FuziRDUBdlcdvr1FUZfqMz7k6pJmQ%2Byn3T&p=GITV&area=JS_CUCC
陕西卫视,http://122.96.52.98:8006/JS_CUCC/G_SHANXI.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV2D8KFdS8E4Uz5nFiMK5WrFknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
湖北卫视,http://122.96.52.98:8006/JS_CUCC/G_HUBEI.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6CXUDrISag2udW4uEN4VcVm7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
湖南卫视,http://122.96.52.98:8006/JS_CUCC/HNWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVyWYfXsozNbEdouT0O6Wmw8OP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
江西卫视,http://122.96.52.98:8006/JS_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1vOhW%2BEXQQv15AnMlPq6XXJ9FDzXuGggYWfiL04G1oO&p=GITV&area=JS_CUCC
江苏卫视,http://122.96.52.98:8006/JS_CUCC/JSWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV2VGxedtPLnAery2%2BkpIGq1m7dzvyycILdppT%2FkkIT4K&p=GITV&area=JS_CUCC
广东卫视,http://122.96.52.98:8006/JS_CUCC/GDWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7YYk%2FNMhiSkYw3tSTCv4QkOP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
海南卫视,http://122.96.52.98:8006/JS_CUCC/LYWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwxsuthJv9tJhVVjvVE25RWh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
兵团卫视,http://122.96.52.98:8006/JS_CUCC/G_BINGTUAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5bj0HQF2o3YIeMp5xprNaPyvpPW8hxBd0Rtq%2Bwa619R&p=GITV&area=JS_CUCC
北京卫视,http://122.96.52.98:8006/JS_CUCC/BTV-1.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0kjRTqe7Ar6EEzDVBBM5pLhCsZiWNVb%2B9ug3Ov%2B5E3U&p=GITV&area=JS_CUCC
